RecordingTimestamp	GazePointX (ADCSpx)	GazePointY (ADCSpx)	IRMarkerID	
8200	385	181	11, 13, 14, 17, 18, 29	
8233	385	182	11, 13, 14, 17, 18, 29	
8267	385	183	11, 13, 14, 17, 18, 29	
8300	385	184	11, 13, 14, 17, 18, 29	
8333	386	185	11, 13, 14, 17, 18, 29	
8367	384	185	11, 13, 14, 17, 18, 29	
8400	380	180	11, 13, 14, 17, 18, 29	
8433	378	178	11, 13, 14, 17, 18, 29	
8467	378	179	11, 13, 14, 17, 18, 29	
8500	378	179	11, 13, 14, 17, 18, 29	
8533	379	180	11, 13, 14, 17, 18, 29	
8567	377	179	11, 13, 14, 17, 18, 29	
8600	375	177	11, 13, 14, 17, 18, 29	
8633	376	179	11, 13, 14, 17, 18, 29	
8667	375	179	11, 13, 14, 17, 18, 29	
8700	374	178	11, 13, 14, 17, 18, 29	
8733	373	179	11, 13, 14, 17, 18, 29	
8767	371	179	11, 13, 14, 17, 18, 29	
8800	370	179	11, 13, 14, 17, 18, 29	
8833	369	183	11, 13, 14, 17, 18, 29	
8867	364	180	11, 13, 14, 17, 18, 29	
8900	362	179	11, 13, 14, 17, 18, 29	
8933	360	180	11, 13, 14, 17, 18, 29	
8967	358	180	11, 13, 14, 17, 18, 29	
9000	356	180	11, 13, 14, 17, 18, 29	
9033	354	179	11, 13, 14, 17, 18, 29	
9067	355	180	11, 13, 14, 17, 18, 29	
9100	355	179	11, 13, 14, 17, 18, 29	
9133	355	180	11, 13, 14, 17, 18, 29	
9167	356	181	11, 13, 14, 17, 18, 29	
9200	356	181	11, 13, 14, 17, 18, 29	
9233	356	180	11, 13, 14, 17, 18, 29	
9267	359	185	11, 13, 14, 17, 18, 29	
9300	362	185	11, 13, 14, 17, 18, 29	
9333	364	185	11, 13, 14, 17, 18, 29	
9367			11, 13, 14, 17, 18, 29	
9400	439	199	11, 13, 14, 17, 18, 29	
9433	437	198	11, 13, 14, 17, 18, 29	
9467	434	196	11, 13, 14, 17, 18, 29	
9500	432	197	11, 13, 14, 17, 18, 29	
9533	431	198	11, 13, 14, 17, 18, 29	
9567	429	198	11, 13, 14, 17, 18, 29	
9600	426	197	11, 13, 14, 17, 18, 29	
9633	422	197	11, 13, 14, 17, 18, 29	
9667	419	196	11, 13, 14, 17, 18, 29	
9700	420	199	11, 13, 14, 17, 18, 29	
9733	418	197	11, 13, 14, 17, 18, 29	
9767	418	197	11, 13, 14, 17, 18, 29	
9800	417	193	11, 13, 14, 17, 18, 29	
9833	416	193	11, 13, 14, 17, 18, 29	
9867	416	193	11, 13, 14, 17, 18, 29	
9900	417	194	11, 13, 14, 17, 18, 29	
9933	423	197	11, 13, 14, 17, 18, 29	
9967	365	162	11, 13, 14, 17, 18, 29	
10000	366	160	11, 13, 14, 17, 18, 29	
10033	368	162	11, 13, 14, 17, 18, 29	
10067	369	163	11, 13, 14, 17, 18, 29	
10100	370	163	11, 13, 14, 17, 18, 29	
10133				
10167	369	164	11, 13, 14, 17, 18, 29	
10200	371	166	11, 13, 14, 17, 18, 29	
10233	369	166	11, 13, 14, 17, 18, 29	
10267				
10300	395	158	11, 13, 14, 17, 18, 29	
10333	389	156	11, 13, 14, 17, 18, 29	
10367	391	158	11, 13, 14, 17, 18, 29	
10400				
10433	393	159	11, 13, 14, 17, 18, 29	
10467	392	159	11, 13, 14, 17, 18, 29	
10500	391	159	11, 13, 14, 17, 18, 29	
10533				
10567	391	159	11, 13, 14, 17, 18, 29	
10600	394	161	11, 13, 14, 17, 18, 29	
10633	392	160	11, 13, 14, 17, 18, 29	
10667	393	160	11, 13, 14, 17, 18, 29	
10700	394	160	11, 13, 14, 17, 18, 29	
10733	394	160	11, 14, 17, 18, 29	
10767	394	160	11, 14, 17, 18, 29	
10800	393	160	11, 13, 14, 17, 18, 29	
10833	396	176	11, 13, 14, 17, 18, 29	
10867	412	179	11, 14, 17, 18, 29	
10900	414	183	11, 14, 17, 18, 29	
10933	412	183	11, 14, 17, 18, 29	
10967	413	186	11, 14, 17, 18, 29	
11000	397	185	11, 14, 17, 18, 29	
11033	399	184	11, 13, 14, 17, 18, 29	
11067	399	184	11, 13, 14, 17, 18, 29	
11100	398	184	11, 14, 17, 18, 29	
11133	396	183	11, 14, 17, 18, 29	
11167	395	183	11, 14, 17, 18, 29	
11200	405	180	11, 14, 17, 18, 29	
11233	425	237	11, 14, 17, 18, 29	
11267	429	235	11, 14, 17, 18, 29	
11300	431	235	11, 14, 17, 18, 29	
11333	433	237	11, 14, 17, 18, 29	
11367	431	237	11, 14, 17, 18, 29	
11400	426	237	11, 14, 17, 18, 29	
11433	424	237	11, 14, 17, 18, 29	
11467	424	238	11, 14, 17, 18, 29	
11500	431	241	11, 14, 17, 18, 29	
11533	386	219	11, 14, 17, 18, 29	
